POS	CRC01-P24NNS14	CRC01-P24NNS4	CRC01-P24NNS8	CRC01-P24NS13	CRC01-P24NS14	CRC01-P24NS16	CRC01-P24NS17	CRC01-P24NS18	CRC01-P24NS19	CRC01-P24NS1	CRC01-P24NS3	CRC01-P24NS5	CRC01-P39TNS3	CRC01-P39TS11	CRC01-P39TS13	CRC01-P39TS15	CRC01-P39TS4	CRC01-P39TS8	CRC01-P39TS9	CRC01.P42.TS.17	CRC01.P42.TS.2	CRC01.P42.TS.3	CRC01-P59NNS11	CRC01-P59NNS15	CRC01-P59NNS16	CRC01-P59NNS18	CRC01-P59NNS1	CRC01-P59NNS5	CRC01-P59NNS9	CRC01-P59NS10	CRC01-P59NS11	CRC01-P59NS18	CRC01-P59NS7	CRC01-P87NNS15	CRC01-P87NNS17	CRC01-P87NNS5	CRC01-P87NNS9	CRC01-P87NS10	CRC01-P87NS12	CRC01-P87NS15	CRC01-P87NS9	CRC01-P92NNS18	CRC1_P24_Lgr5_14	CRC1_P24_Lgr5_19	CRC1_P87_Lgr5_12	CRC1_P87_Lgr5_20
45	1	15	6	14	3	5	5	7	6	11	2	7	198	708	621	544	347	358	720	148	107	172	20	16	3	6	14	14	14	18	12	225	117	117	6	63	3	8	4	23	64	175	10	33	144	39
46	1	14	6	14	3	5	5	7	6	11	2	7	200	712	622	549	347	367	720	150	107	174	19	17	3	6	14	15	13	17	13	226	118	115	6	62	3	8	4	22	62	175	12	34	146	38
47	1	15	6	15	3	5	5	7	6	11	2	7	203	716	634	549	353	366	739	158	108	175	20	17	3	6	14	14	14	18	13	234	121	117	6	65	3	8	4	22	64	179	11	34	147	40
48	1	15	6	14	3	5	5	7	6	11	2	7	205	721	630	556	353	371	741	157	105	175	22	14	3	6	15	15	13	18	13	235	121	116	5	65	3	9	4	21	64	175	12	34	145	40
49	1	15	6	15	3	5	5	7	6	11	2	7	196	710	619	554	350	359	733	152	106	172	22	15	3	6	15	15	14	16	12	230	117	115	6	65	3	9	4	22	60	178	11	34	144	41
50	1	14	6	14	3	4	5	7	6	10	2	7	194	685	612	544	339	351	710	143	100	163	20	15	3	6	14	15	14	18	13	217	121	106	6	64	3	9	4	21	59	171	10	32	142	41
51	1	15	6	14	3	5	5	7	6	12	2	6	200	708	625	546	350	364	719	158	102	169	23	14	3	6	15	15	15	19	12	223	120	110	6	63	3	9	4	23	59	178	11	34	143	41
52	1	15	6	15	3	5	5	7	6	12	2	7	203	727	633	570	365	372	752	161	108	173	24	15	3	6	15	15	15	19	13	231	125	117	6	65	3	9	4	24	64	179	12	34	148	40
53	1	15	6	15	3	5	5	7	6	12	2	7	205	736	638	584	369	377	758	163	108	173	23	15	3	6	15	15	15	19	13	236	125	118	6	65	3	9	4	24	66	176	12	34	147	41
54	1	15	6	14	3	5	5	7	6	12	2	7	206	712	639	543	345	374	742	166	112	171	23	16	3	7	15	16	15	19	13	232	127	120	6	66	3	9	4	24	66	175	11	34	147	43
55	1	15	6	15	3	5	5	7	6	12	2	7	205	735	642	570	371	376	766	163	110	175	23	16	3	7	15	16	15	19	13	232	123	119	6	64	3	9	4	23	63	176	12	34	148	44
56	1	15	5	15	3	5	5	7	6	10	2	7	204	732	623	570	366	369	754	154	104	165	23	15	3	7	15	16	14	19	13	224	123	115	6	63	3	9	4	24	64	177	12	35	147	45
57	1	14	5	14	3	5	4	7	5	12	2	7	206	731	634	563	367	371	763	159	108	172	22	15	3	7	15	16	15	20	14	229	126	117	6	65	3	9	4	23	66	175	12	37	149	45
58	1	15	5	15	3	5	4	7	4	14	2	7	211	738	646	571	369	373	760	167	109	173	24	16	3	7	15	16	15	20	14	225	125	119	6	64	3	9	4	24	69	179	14	36	151	45
59	1	16	6	17	3	6	4	8	4	15	2	8	220	774	667	599	390	387	788	162	108	178	22	16	4	8	16	17	15	20	14	232	133	127	6	71	4	10	5	25	70	185	14	38	155	46
60	3	22	11	29	7	8	8	11	6	19	6	12	307	1074	980	809	536	508	1042	186	142	208	35	25	5	11	21	23	24	23	22	254	156	166	12	98	6	15	7	34	95	219	15	49	176	59
61	3	22	11	29	7	8	8	11	6	19	6	10	303	1077	978	787	535	508	1030	188	142	208	34	26	5	11	21	23	24	22	23	252	158	168	12	97	6	15	7	33	97	217	16	51	176	59
62	3	23	12	27	7	8	8	11	6	19	6	12	306	1073	980	806	539	522	1026	188	142	208	35	26	5	11	21	23	24	22	23	250	157	167	11	97	6	15	7	35	99	219	14	51	179	59
63	3	23	12	26	7	8	7	11	6	19	6	12	302	1077	970	800	538	520	1040	188	137	204	35	26	5	11	21	22	24	23	23	251	153	163	11	96	6	15	7	34	98	219	13	51	176	59
64	3	24	11	27	8	8	8	12	6	21	6	12	308	1089	984	814	546	533	1060	198	147	216	36	26	5	11	24	23	24	23	23	258	162	166	11	98	6	15	8	35	100	234	16	53	179	60
65	3	24	12	26	7	8	8	12	6	21	6	13	309	1070	970	802	539	518	1040	195	147	213	36	27	5	11	24	24	25	23	21	249	163	164	11	97	6	15	8	34	100	235	16	53	181	59
66	2	23	12	26	8	8	8	12	6	21	6	13	317	1093	991	818	553	540	1096	203	149	219	35	26	5	11	23	22	23	23	23	255	165	173	11	99	6	15	8	34	102	232	16	53	181	60
67	3	23	12	26	8	8	8	12	6	21	6	13	318	1094	996	819	551	542	1112	201	152	221	36	24	5	11	23	22	24	23	23	252	163	172	11	99	6	15	8	32	101	233	16	53	181	61
68	3	23	12	27	8	8	8	13	6	21	6	13	321	1102	1017	825	555	549	1125	209	154	223	33	28	5	11	24	22	25	25	24	255	167	175	11	99	6	15	8	33	105	237	16	53	182	62
69	3	23	13	29	8	8	8	13	6	22	7	14	321	1119	1043	820	557	556	1168	211	154	225	35	28	5	11	24	22	25	25	24	257	170	174	11	100	6	15	8	33	104	240	16	52	186	63
70	3	23	13	29	8	8	8	13	6	22	7	14	320	1118	1036	816	553	562	1163	207	153	219	36	27	5	11	23	22	24	24	24	254	170	176	11	100	6	15	8	35	103	235	16	54	189	63
71	3	23	13	28	8	7	8	13	6	22	7	14	319	1124	1041	830	553	566	1163	210	155	219	36	28	5	11	24	22	25	24	24	256	170	176	11	103	6	15	8	34	105	234	16	55	187	63
72	3	23	13	29	8	8	8	13	6	24	7	12	324	1125	1042	825	562	572	1175	206	153	222	35	28	5	11	24	23	25	25	24	258	177	176	11	114	6	15	8	33	107	234	16	54	187	63
73	3	16	13	25	5	8	8	12	6	23	7	12	318	1117	1044	711	556	429	1165	204	151	217	28	28	4	8	20	17	17	24	22	249	162	126	6	76	6	8	5	32	104	231	16	54	182	62
74	3	23	13	28	8	8	8	13	6	24	7	13	323	1138	1053	838	566	574	1177	211	146	223	37	28	5	11	25	23	25	25	24	260	178	177	11	116	6	15	8	35	107	238	16	53	189	63
75	3	21	12	26	8	7	8	11	6	22	7	11	312	1120	1036	810	550	549	1144	208	152	216	34	26	5	10	22	21	23	24	23	259	172	165	11	106	3	13	4	23	72	217	15	54	187	62
76	3	23	13	28	8	8	8	13	6	24	7	13	327	1159	1058	850	569	588	1192	212	151	224	38	27	5	11	25	23	25	26	24	259	180	181	11	113	6	15	8	33	107	234	16	56	189	63
77	3	23	13	29	8	8	8	12	6	24	7	13	324	1158	1041	851	575	593	1190	211	151	226	34	28	5	11	22	22	25	26	24	260	178	180	11	113	6	15	7	34	108	216	15	56	191	63
78	3	23	13	29	8	8	8	13	6	24	7	13	329	1151	1049	841	562	585	1186	215	153	228	37	28	5	11	25	23	25	26	24	255	182	177	13	117	6	15	8	35	107	234	16	56	191	63
79	3	23	13	30	8	8	8	12	6	24	7	12	323	1141	1047	819	564	573	1126	212	149	223	35	25	5	11	24	23	25	25	23	253	177	171	13	114	5	15	4	32	104	220	16	56	191	63
80	3	23	13	28	8	8	8	11	6	24	7	13	327	1144	1034	828	551	578	1141	216	153	225	37	27	5	11	25	23	24	26	24	250	180	177	13	116	6	14	8	25	106	229	16	56	190	63
81	4	27	14	33	8	11	9	16	8	26	8	15	360	1192	1143	821	570	601	1264	232	165	226	37	27	5	11	24	24	27	27	25	422	183	191	13	118	6	15	8	34	107	232	18	58	206	63
82	4	27	14	32	8	11	9	15	8	26	8	16	362	1207	1140	851	569	594	1272	226	164	230	38	31	5	11	25	24	26	27	26	423	182	193	13	116	6	15	8	33	107	232	18	57	209	64
83	4	26	15	32	7	9	8	15	8	23	8	16	352	1181	1103	841	560	594	1245	225	157	222	39	29	5	11	25	23	27	26	27	400	179	191	13	116	6	15	8	34	101	223	18	57	204	63
84	4	27	15	33	8	11	9	16	8	27	8	16	361	1214	1136	857	575	604	1273	223	164	229	38	31	5	11	25	24	27	26	27	425	183	196	13	119	6	15	8	33	106	226	18	56	210	64
85	4	27	16	32	8	12	9	16	8	27	8	17	362	1207	1154	841	572	604	1251	227	165	232	38	30	5	11	25	25	27	28	27	423	186	198	13	117	4	15	5	33	109	243	18	59	210	63
86	3	27	16	33	8	11	9	16	8	27	8	17	363	1205	1159	861	583	604	1270	228	164	229	38	30	5	11	25	25	27	26	28	422	187	197	13	118	6	15	8	30	122	241	18	59	208	63
87	4	27	16	32	8	12	9	16	8	27	8	17	365	1002	1160	637	417	458	1279	226	163	229	36	31	5	11	25	24	27	28	28	426	172	200	13	83	4	12	8	27	88	242	16	59	208	64
88	3	26	16	32	7	12	8	15	8	27	7	17	362	1199	1124	851	567	605	1232	220	159	229	37	31	5	11	25	25	27	27	26	404	180	188	13	114	6	15	8	36	127	241	17	55	207	63
89	3	27	16	32	7	13	9	16	8	28	8	16	365	1218	1163	862	580	614	1267	225	163	231	38	30	5	11	25	28	27	28	27	420	187	199	13	118	6	15	8	35	129	239	18	58	210	65
90	4	27	16	34	8	13	9	16	8	28	9	17	364	1208	1153	853	579	604	1268	226	164	230	37	30	5	11	25	28	27	28	28	423	184	198	13	116	4	15	6	21	120	239	18	60	210	65
91	4	27	16	33	8	13	9	16	8	28	9	16	363	1200	1145	852	567	605	1239	223	167	230	37	30	5	11	24	28	26	27	28	398	180	197	13	115	5	15	8	35	130	239	18	61	210	65
92	4	27	16	34	8	13	9	16	8	28	9	16	369	1203	1159	854	575	611	1277	223	166	226	37	30	5	11	23	26	26	27	28	429	186	197	12	117	6	15	8	36	133	242	17	61	211	65
93	4	27	16	34	8	13	9	16	8	28	9	17	366	1222	1157	870	578	616	1280	226	163	231	37	31	5	11	24	26	27	28	28	426	187	198	13	118	6	15	8	36	132	242	18	60	212	65
94	4	27	16	34	8	13	9	16	8	28	9	17	368	1220	1160	855	579	615	1273	226	162	230	40	30	5	11	24	26	27	27	28	427	188	199	13	118	6	15	8	36	133	240	17	60	211	63
95	3	27	16	33	8	13	9	15	8	28	9	17	370	1225	1156	872	577	614	1272	225	163	230	39	31	5	11	24	26	27	28	28	424	188	199	13	116	6	15	8	37	132	237	18	61	212	65
96	4	27	16	34	8	13	9	16	8	27	9	17	364	1219	1155	867	578	614	1257	227	163	229	39	31	5	11	23	26	27	28	28	421	186	199	13	116	6	15	8	37	135	239	18	60	213	65
97	4	27	16	33	8	13	9	16	8	28	9	17	362	1196	1143	851	578	603	1250	224	155	230	38	31	5	11	22	23	25	25	28	413	180	194	13	115	3	15	5	30	133	234	18	60	212	64
98	4	26	15	34	8	13	8	16	8	28	9	15	363	1201	1160	566	572	613	1263	223	160	234	40	30	5	11	23	26	26	28	26	426	182	197	12	117	4	14	8	37	134	241	18	61	212	66
99	4	27	16	33	7	12	9	16	8	28	9	16	364	1224	1163	882	580	616	1274	226	160	235	40	31	5	11	23	26	27	29	27	420	186	198	13	117	6	15	8	36	135	239	19	61	213	66
100	4	27	16	33	8	12	9	16	8	28	9	16	366	1225	1161	874	580	611	1266	221	158	227	39	31	5	11	23	26	26	28	28	428	182	202	13	117	6	15	8	37	135	241	19	61	213	67
101	4	27	16	34	8	11	9	16	8	28	9	15	366	1219	1159	880	579	613	1271	226	161	229	38	31	5	11	23	25	27	28	28	426	185	201	13	116	6	15	8	37	135	242	18	60	212	67
102	4	27	16	34	8	11	8	16	8	28	9	15	366	1230	1160	886	579	611	1283	224	160	235	40	30	5	11	23	26	27	29	28	429	188	200	13	118	6	15	8	35	133	242	19	61	214	67
103	4	25	16	32	8	11	9	16	8	28	9	14	366	1219	1146	869	577	604	1242	224	162	232	40	30	5	11	23	26	27	27	27	425	182	201	13	117	3	15	8	36	135	232	17	61	212	66
104	4	25	16	34	8	11	9	16	8	28	9	15	361	1206	1137	864	575	606	1256	223	158	227	38	30	5	11	23	26	27	28	28	422	184	197	13	116	6	15	8	24	134	237	19	61	212	67
105	4	24	16	33	8	11	9	15	8	28	9	15	361	1220	1147	870	578	602	1260	223	159	230	39	31	5	11	23	25	26	28	28	413	184	199	13	115	6	15	8	37	135	237	18	61	214	65
106	3	25	15	34	8	11	9	16	8	28	9	16	361	1219	1145	864	577	607	1272	222	161	228	40	30	5	11	23	25	27	27	27	418	183	198	13	115	6	15	8	38	136	236	19	61	214	67
107	4	25	16	34	8	11	9	16	8	28	9	16	365	1219	1147	872	583	605	1275	225	162	230	39	30	5	11	23	26	27	29	28	429	182	199	13	114	6	15	8	38	136	237	19	62	216	67
108	4	25	16	34	8	11	9	16	8	28	9	16	364	1230	1153	885	580	610	1277	228	161	232	39	31	5	11	23	26	27	29	28	433	184	200	13	114	6	15	8	37	135	239	18	62	216	67
109	4	25	16	34	8	11	9	15	8	28	9	15	361	1221	1151	883	580	605	1260	227	161	229	40	31	5	11	23	26	26	27	28	425	181	197	13	114	3	15	8	34	136	235	18	61	215	66
110	4	25	16	34	8	10	9	15	8	28	9	16	362	1225	1144	878	578	610	1266	227	159	230	39	29	5	11	23	26	27	27	28	429	183	189	13	114	6	15	8	35	134	235	18	60	218	67
111	3	25	16	34	8	11	8	15	8	28	9	16	359	1235	1147	883	582	607	1283	229	157	234	40	29	5	11	23	26	26	25	27	421	185	194	13	114	6	15	8	37	136	239	18	61	215	67
112	4	25	15	34	8	10	9	15	8	27	9	16	356	1220	1148	880	581	608	1271	225	157	232	39	29	5	11	23	25	27	25	28	427	184	196	13	115	6	15	8	35	137	236	18	61	215	66
113	4	25	16	34	8	11	9	16	8	27	9	16	353	1217	1132	876	581	603	1277	224	158	228	40	29	5	11	23	24	27	25	28	424	181	193	13	115	6	14	8	35	136	232	19	60	214	67
114	4	25	16	34	8	10	9	16	8	26	9	16	357	1239	1140	885	581	601	1279	222	156	232	38	30	5	11	23	24	27	25	28	424	182	192	13	115	6	14	8	35	136	234	19	60	216	67
115	3	25	15	34	8	11	9	16	8	27	9	16	353	1230	1133	878	581	600	1284	219	154	230	39	29	5	11	23	23	27	25	27	415	187	192	13	113	6	14	8	37	135	232	19	58	215	66
116	3	24	15	30	7	10	9	15	8	26	9	15	346	1205	1100	849	566	585	1208	210	146	219	39	29	5	11	22	24	27	24	26	380	182	183	12	113	6	14	7	36	134	227	18	55	206	68
117	3	24	15	34	8	11	9	16	8	27	8	16	351	1221	1124	863	577	587	1265	216	153	228	40	29	5	11	23	24	27	25	24	414	185	192	13	114	6	14	8	36	131	233	19	57	210	67
118	4	25	16	32	8	11	9	16	8	27	9	15	355	1227	1133	872	577	589	1279	224	152	227	42	29	5	11	23	24	25	26	29	416	186	190	13	115	6	14	8	37	134	230	18	55	213	67
119	4	25	16	33	7	11	9	16	8	27	8	16	353	1230	1137	874	579	590	1282	225	154	224	39	30	5	11	21	21	27	24	29	426	181	190	13	114	6	13	8	37	134	223	17	55	214	67
120	4	25	16	33	8	11	9	16	8	27	9	16	354	1215	1130	859	573	584	1262	222	154	226	41	30	5	11	23	24	27	26	28	409	183	189	13	113	6	14	8	37	134	229	19	55	212	68
121	4	25	16	33	8	11	9	16	8	27	9	16	346	1213	1112	855	570	584	1268	221	151	228	42	30	5	11	23	24	27	25	29	412	181	191	13	113	6	14	8	31	132	225	19	55	215	67
122	4	25	15	34	8	10	9	16	8	27	9	16	351	1234	1121	859	577	577	1281	223	152	226	40	30	5	11	23	24	27	25	29	421	182	191	13	111	5	14	8	25	131	230	18	54	213	68
123	4	25	16	34	8	11	9	16	8	27	9	16	349	1232	1118	863	578	585	1284	224	150	228	39	30	5	11	23	24	26	26	29	419	182	192	13	112	6	14	8	39	132	227	19	54	213	67
124	4	25	14	34	8	11	9	16	8	27	9	16	352	1238	1126	868	580	588	1278	225	152	223	42	30	5	11	23	24	27	25	29	421	183	195	13	112	6	14	8	39	133	228	19	53	211	67
125	3	25	16	34	8	11	8	16	8	27	9	16	349	1242	1124	856	568	582	1265	213	151	220	41	30	5	11	23	23	26	26	28	417	178	192	13	111	6	14	8	36	127	224	19	51	208	67
126	4	24	16	34	8	11	8	16	8	27	9	16	344	1229	1103	842	565	576	1260	214	145	217	42	30	5	11	23	23	24	25	29	416	179	188	13	107	6	14	8	37	132	221	19	50	212	68
127	3	25	16	34	8	11	8	15	8	27	9	16	348	1232	1120	856	567	582	1270	219	155	218	43	30	5	11	23	24	26	26	28	417	179	189	13	111	6	14	8	38	131	225	19	51	212	66
128	4	25	16	33	8	10	9	15	8	27	9	14	351	1230	1113	854	568	584	1259	222	153	222	41	30	5	11	23	24	25	24	29	423	181	191	13	113	6	14	8	36	128	225	19	52	212	66
129	4	25	15	34	8	10	8	16	8	27	9	16	345	1230	1120	849	567	584	1257	222	150	220	41	30	5	11	23	24	25	26	28	419	180	189	13	110	6	14	8	36	128	226	19	52	216	67
130	4	25	16	32	8	11	9	16	8	27	9	16	351	1242	1124	853	570	589	1264	219	153	216	43	29	5	11	23	24	26	25	29	415	179	192	13	111	6	14	8	37	131	227	19	51	216	68
131	2	25	14	32	8	11	9	16	8	27	9	15	346	1239	1105	840	568	585	1254	219	150	218	43	29	5	11	23	24	26	25	28	417	177	189	13	112	6	14	8	36	131	225	18	50	215	67
132	4	25	15	31	8	10	9	15	8	27	9	16	345	1232	1098	843	564	585	1253	216	151	219	43	30	5	11	23	24	25	26	29	420	179	191	12	111	6	14	8	37	130	222	18	51	215	65
133	3	23	16	30	8	11	8	16	8	26	8	16	333	1224	1076	835	564	574	1233	206	145	203	42	28	5	11	21	22	23	24	29	406	173	183	13	109	6	13	8	34	126	210	17	49	211	67
134	3	22	16	30	8	11	9	16	8	27	9	16	336	1221	1087	841	566	577	1241	203	143	197	42	29	5	11	20	23	24	24	29	407	171	188	13	110	6	13	8	36	129	209	17	50	210	68
